State,District,Change,Candidate,Party
California,CA-01,Added,Paul Saulsbury (R),R
California,CA-01,Added,Angelita Valles (R),R
California,CA-03,Removed,Heidi Hall (D),D
California,CA-03,Removed,Tyler Vandenberg (D),D
California,CA-03,Added,Heidi Hall (D),D
California,CA-11,Removed,Jingchao Xiong (D),D
California,CA-11,Removed,Nancy Pelosi (D),D
California,CA-11,Added,Jingchao Xiong (D),D
California,CA-13,Removed,Adam Gray (D),D
California,CA-13,Removed,Angelina Sigala (D),D
California,CA-13,Added,Adam Gray (D),D
California,CA-14,Removed,Abrar Qadir (D),D
California,CA-14,Removed,Eric Swalwell (D),D
California,CA-14,Added,Abrar Qadir (D),D
California,CA-16,Added,Sam Liccardo (D),D
California,CA-16,Removed,Sam Liccardo (D),D
California,CA-26,Added,Crystal Golden (R),R
California,CA-26,Removed,Julia Brownley (D),D
California,CA-26,Added,Kyle Langford (D),D
California,CA-26,Added,Kyle Rohrbach (D),D
California,CA-32,Removed,Anna Wilding (D),D
California,CA-32,Removed,Jake Rakov (D),D
California,CA-32,Added,Anna Wilding (D),D
California,CA-35,Removed,Norma Torres (D),D
California,CA-35,Added,Norma Torres (D),D
California,CA-35,Added,W.H. Lane (D),D
California,CA-38,Removed,Linda S\u00e1nchez (D),D
California,CA-38,Added,Linda Sanchez (D),D
California,CA-40,Removed,Esther Kim Varet (D),D
California,CA-40,Removed,Christina Gagnier (D),D
California,CA-40,Removed,Perry Meade (D),D
California,CA-40,Added,Esther Kim Varet (D),D
California,CA-44,Added,Nanette BarragÃ¡n (D),D
California,CA-44,Added,Darren Parker (D),D
California,CA-45,Removed,Michelle Steel (R),R
Colorado,CO-06,Added,Travis Dishon (D),D
Colorado,CO-06,Added,Edwardo Quinonez (I),I
Colorado,CO-08,Removed,John Szemler (D),D
Colorado,CO-08,Removed,Dave Young (D),D
Colorado,CO-08,Added,John Szemler (D),D
Connecticut,CT-01,Removed,Mark Stewart Greenstein (D),D
Connecticut,CT-01,Removed,Jack Perry (D),D
Connecticut,CT-01,Added,Mark Stewart Greenstein (D),D
Delaware,DE-AL,Removed,Joseph Arminio (R),R
Delaware,DE-AL,Removed,Christopher Hill (R),R
Delaware,DE-AL,Added,Earl Cooper (R),R
Delaware,DE-AL,Added,Donyale Hall (R),R
Delaware,DE-AL,Added,Lee Murphy (R),R
Delaware,DE-AL,Removed,Lisa Blunt Rochester (D),D
Delaware,DE-AL,Removed,Curtis Aiken (D),D
Delaware,DE-AL,Removed,Colleen Davis (D),D
Delaware,DE-AL,Removed,Alexander Geise (D),D
Delaware,DE-AL,Removed,Eugene Young (D),D
Delaware,DE-AL,Removed,Anne Kerner (D),D
Delaware,DE-AL,Added,Sarah McBride (D),D
Florida,FL-02,Removed,Neal Dunn (R),R
Florida,FL-02,Added,Evan Power (R),R
Florida,FL-03,Added,Anthony Stebbins (L),L
Florida,FL-03,Added,Angela Wiman (I),I
Florida,FL-04,Added,Todd Schaefer (I),I
Florida,FL-05,Removed,Rachel Grage (D),D
Florida,FL-05,Removed,Mark Heggestad (D),D
Florida,FL-05,Added,Alexander Hazen (D),D
Florida,FL-05,Removed,Wyatt Clark (D),D
Florida,FL-05,Added,Mark Heggestad (D),D
Florida,FL-05,Added,Rachel Grage (D),D
Florida,FL-07,Removed,Sarah Ulrich (R),R
Florida,FL-07,Removed,Mike Wilnau (R),R
Florida,FL-07,Added,Sarah Ulrich (R),R
Florida,FL-10,Removed,Vibert White (R),R
Florida,FL-10,Removed,Howard Steven Rance (R),R
Florida,FL-10,Added,Vibert White (R),R
Florida,FL-11,Added,Ralph Groves (L),L
Florida,FL-14,Removed,Gavriel E. Soriano (R),R
Florida,FL-14,Removed,John Wick (R),R
Florida,FL-14,Added,Gavriel E. Soriano (R),R
Florida,FL-19,Removed,John Strand (R),R
Florida,FL-19,Removed,Byron Donalds (R),R
Florida,FL-19,Added,Louis Shenker (R),R
Florida,FL-19,Added,John Strand (R),R
Florida,FL-22,Added,David Burck (I),I
Florida,FL-22,Added,Dan Franzese (I),I
Florida,FL-23,Removed,Rafael Ortiz (R),R
Florida,FL-23,Removed,Michaelangelo Hamilton (R),R
Florida,FL-23,Added,Rafael Ortiz (R),R
Florida,FL-23,Added,Scott Singer (I),I
Florida,FL-27,Added,V. Michael Arias (I),I
Georgia,GA-01,Added,Eugene Monte (R),R
Georgia,GA-01,Added,Sharon Stokes-Williamson (D),D
Georgia,GA-07,Added,Larry Long (D),D
Georgia,GA-10,Removed,Houston Gaines (R),R
Georgia,GA-10,Removed,Mike Collins (R),R
Georgia,GA-10,Added,Houston Gaines (R),R
Georgia,GA-14,Added,Eric Cunningham (R),R
Georgia,GA-14,Removed,Thomas Gray (R),R
Georgia,GA-14,Added,Tom Gray (R),R
Georgia,GA-14,Added,Christian Hurd (R),R
Georgia,GA-14,Added,Brian Stover (R),R
Georgia,GA-14,Removed,Jim Tully (R),R
Georgia,GA-14,Added,James Tully (R),R
Georgia,GA-14,Removed,Marjorie Taylor Greene (R),R
Georgia,GA-14,Added,Jacqueline Wilmer (R),R
Idaho,ID-01,Removed,Ken Brungardt (D),D
Idaho,ID-01,Added,Ken Brungardt (D),D
Idaho,ID-01,Added,Kaylee Peterson (D),D
Idaho,ID-02,Removed,Julie Wiley (D),D
Idaho,ID-02,Removed,Keven Lewis (D),D
Idaho,ID-02,Added,Julie Wiley (D),D
Illinois,IL-02,Removed,Mike Noack (R),R
Illinois,IL-02,Removed,Ashley Ramos (R),R
Illinois,IL-02,Added,Mike Noack (R),R
Illinois,IL-03,Removed,Delia Ramirez (D),D
Illinois,IL-03,Removed,Mark Pasieka Sr. (D),D
Illinois,IL-03,Added,Delia Ramirez (D),D
Illinois,IL-05,Removed,Jonathan Bishop (D),D
Illinois,IL-09,Removed,Bruce Leon (D),D
Illinois,IL-13,Removed,Dylan Blaha (D),D
Illinois,IL-13,Removed,Emily Lux (D),D
Illinois,IL-13,Added,Dylan Blaha (D),D
Illinois,IL-17,Removed,Eric Sorensen (D),D
Illinois,IL-17,Removed,Montez Soliz (D),D
Illinois,IL-17,Added,Eric Sorensen (D),D
Indiana,IN-01,Added,David Ben Ruiz (R),R
Indiana,IN-04,Added,Joe Mackey (D),D
Indiana,IN-05,Added,J.D. Ford (D),D
Indiana,IN-06,Added,David Boyd (D),D
Iowa,IA-02,Removed,Joe Mitchell (R),R
Iowa,IA-02,Removed,Rodney Blum (R),R
Iowa,IA-02,Added,Joe Mitchell (R),R
Iowa,IA-02,Removed,Clint Twedt-Ball (D),D
Iowa,IA-02,Removed,Kevin Techau (D),D
Iowa,IA-02,Added,Clint Twedt-Ball (D),D
Iowa,IA-04,Removed,Matt Windschitl (R),R
Iowa,IA-04,Removed,Douglas Jensen (R),R
Iowa,IA-04,Removed,Kyle Larsen (R),R
Iowa,IA-04,Added,Matt Windschitl (R),R
Iowa,IA-04,Removed,Ashley WolfTornabane (D),D
Iowa,IA-04,Removed,Ryan Melton (D),D
Iowa,IA-04,Added,Ashley WolfTornabane (D),D
Kansas,KS-01,Removed,Colin McRoberts (D),D
Kansas,KS-01,Added,Colin McRoberts (D),D
Kansas,KS-01,Added,Lauren Reinhold (D),D
Kansas,KS-02,Removed,Don Coover (D),D
Kansas,KS-02,Added,Don Coover (D),D
Kansas,KS-02,Added,Braeden Curwick (D),D
Kansas,KS-03,Removed,Blake Stanley (R),R
Kansas,KS-03,Removed,Chase LaPorte (R),R
Kansas,KS-03,Added,Blake Stanley (R),R
Kentucky,KY-01,Removed,David Sims (R),R
Kentucky,KY-01,Added,Penny Arcos (R),R
Kentucky,KY-01,Added,David Sims (R),R
Kentucky,KY-01,Added,Robert James Sutherby (R),R
Kentucky,KY-02,Added,G. Perry Adelmann (R),R
Kentucky,KY-02,Added,David Hatfield (D),D
Kentucky,KY-03,Added,Daniel Cobble (R),R
Kentucky,KY-03,Added,David Nichter (R),R
Kentucky,KY-03,Added,Donald Pay (R),R
Kentucky,KY-03,Added,Maria Teresa Rodriguez (R),R
Kentucky,KY-04,Removed,Ed Gallrein (R),R
Kentucky,KY-04,Removed,Robert Wells Jr. (R),R
Kentucky,KY-04,Added,Ed Gallrein (R),R
Kentucky,KY-05,Added,Brandon Monhollen (R),R
Kentucky,KY-05,Added,Jerry Shelton (R),R
Kentucky,KY-05,Added,Kevin Smith (R),R
Kentucky,KY-05,Added,Billy Ray Wilson (I),I
Kentucky,KY-06,Added,Jimmy Ausbrooks (D),D
Kentucky,KY-06,Added,Harvey Carroll Jr. (D),D
Kentucky,KY-06,Added,Corey Edwards (D),D
Maine,ME-01,Removed,Ronald C. Russell (R),R
Maine,ME-01,Removed,Eric Small (R),R
Maine,ME-01,Added,Ronald C. Russell (R),R
Maine,ME-02,Added,Joe Baldacci (D),D
Maine,ME-02,Removed,Jordan Wood (D),D
Maine,ME-02,Removed,Jared Golden (D),D
Maine,ME-02,Added,Jordan Wood (D),D
Maryland,MD-01,Added,Victor Guidice (D),D
Maryland,MD-05,Removed,Steny Hoyer (D),D
Maryland,MD-05,Added,Adrian Boafo (D),D
Maryland,MD-05,Removed,Heather Luper (D),D
Maryland,MD-05,Added,Walter Kirkland (D),D
Maryland,MD-05,Added,Heather Luper (D),D
Maryland,MD-05,Added,Alexis Solis (D),D
Maryland,MD-07,Removed,Mark Conway (D),D
Maryland,MD-07,Added,Mark Conway (D),D
Maryland,MD-07,Added,Theo Gillespie (D),D
Massachusetts,MA-01,Added,Nadia Milleron (I),I
Massachusetts,MA-06,Removed,Jamie Zahlaway Belsito (D),D
Massachusetts,MA-06,Removed,Seth Moulton (D),D
Massachusetts,MA-06,Added,Jamie Zahlaway Belsito (D),D
Michigan,MI-04,Removed,Sean McCann (D),D
Michigan,MI-04,Removed,Jessica Swartz (D),D
Michigan,MI-04,Added,Sean McCann (D),D
Michigan,MI-07,Added,Alexandra Prieditis (D),D
Michigan,MI-10,Removed,Brian Steven Jaye (D),D
Michigan,MI-10,Removed,Alex Hawkins (D),D
Michigan,MI-10,Added,Brian Steven Jaye (D),D
Michigan,MI-11,Removed,Don Ufford (D),D
Michigan,MI-11,Removed,Anil Kumar (D),D
Michigan,MI-11,Added,Don Ufford (D),D
Michigan,MI-13,Removed,Donavan McKinney (D),D
Michigan,MI-13,Removed,Adam Hollier (D),D
Michigan,MI-13,Added,Donavan McKinney (D),D
Minnesota,MN-01,Removed,Jake Johnson (D),D
Minnesota,MN-01,Removed,Andy Smith (D),D
Minnesota,MN-01,Added,Jake Johnson (D),D
Minnesota,MN-02,Removed,Matt Little (D),D
Minnesota,MN-02,Removed,Angie Craig (D),D
Minnesota,MN-02,Removed,Michael Stefanko (D),D
Minnesota,MN-02,Added,Matt Little (D),D
Minnesota,MN-08,Removed,Trina Swanson (D),D
Minnesota,MN-08,Removed,Chad McKenna (D),D
Minnesota,MN-08,Added,Trina Swanson (D),D
Mississippi,MS-02,Removed,Evan Turnage (D),D
Mississippi,MS-02,Added,Evan Turnage (D),D
Mississippi,MS-02,Added,Pertis Williams III (D),D
Mississippi,MS-04,Removed,John Mills (R),R
Mississippi,MS-04,Added,John Mills (R),R
Mississippi,MS-04,Added,Sawyer Walters (R),R
Mississippi,MS-04,Removed,Paul Blackman (D),D
Mississippi,MS-04,Added,Paul Blackman (D),D
Mississippi,MS-04,Added,D. Ryan Grover (D),D
Mississippi,MS-04,Added,Jeffrey Hulum III (D),D
Mississippi,MS-04,Added,Carl Boyanton (I),I
Missouri,MO-05,Removed,Emanuel Cleaver (D),D
Missouri,MO-05,Removed,Jordan Herrera (D),D
Missouri,MO-05,Added,Emanuel Cleaver (D),D
Missouri,MO-08,Removed,Gerald Cass (D),D
Missouri,MO-08,Added,Frank Barnitz (D),D
Missouri,MO-08,Added,Gerald Cass (D),D
Missouri,MO-08,Added,Christopher Reichard (D),D
Montana,MT-01,Removed,Matt Rains (D),D
Montana,MT-01,Added,Samuel Forstag (D),D
Montana,MT-01,Added,Matt Rains (D),D
Montana,MT-01,Added,Ryan Busse (D),D
Nebraska,NE-02,Removed,Brett Lindstrom (R),R
Nebraska,NE-02,Removed,Don Bacon (R),R
Nebraska,NE-02,Added,Brett Lindstrom (R),R
Nebraska,NE-02,Removed,Crystal Rhoades (D),D
Nebraska,NE-02,Removed,Mark Johnston (D),D
Nebraska,NE-02,Added,Crystal Rhoades (D),D
Nevada,NV-03,Removed,Joshua Walters (R),R
Nevada,NV-03,Removed,Lydia Dominguez (R),R
Nevada,NV-03,Added,Joshua Walters (R),R
New Hampshire,NH-02,Added,Victor Orlando (R),R
New Jersey,NJ-01,Removed,Lonnie Affrime (D),D
New Jersey,NJ-01,Removed,Bill Finn (D),D
New Jersey,NJ-01,Added,Lonnie Affrime (D),D
New Jersey,NJ-02,Removed,Bayly Winder (D),D
New Jersey,NJ-02,Removed,Curtis Green (D),D
New Jersey,NJ-02,Added,Bayly Winder (D),D
New Jersey,NJ-03,Removed,Michael McGuire (R),R
New Jersey,NJ-03,Removed,Linda McMahon (R),R
New Jersey,NJ-03,Added,Michael McGuire (R),R
New Jersey,NJ-07,Removed,Brian Varela (D),D
New Jersey,NJ-07,Removed,Gregory Vartan (D),D
New Jersey,NJ-07,Added,Brian Varela (D),D
New Jersey,NJ-09,Removed,Tiffany Burgess (R),R
New Jersey,NJ-09,Added,Tiffany Burress (R),R
New Jersey,NJ-12,Removed,Gregg Mele (R),R
New Jersey,NJ-12,Removed,Darius Mayfield (R),R
New Jersey,NJ-12,Added,Gregg Mele (R),R
New Jersey,NJ-12,Removed,Jay Vaingankar (D),D
New Jersey,NJ-12,Removed,Bonnie Watson Coleman (D),D
New Jersey,NJ-12,Added,Jay Vaingankar (D),D
New Mexico,NM-02,Removed,Gabriel Vasquez (D),D
New Mexico,NM-02,Added,Gabriel Vasquez (D),D
New Mexico,NM-02,Added,Tom Wakely (D),D
New York,NY-07,Removed,Claire Valdez (D),D
New York,NY-07,Removed,Nydia Velazquez (D),D
New York,NY-07,Added,Claire Valdez (D),D
New York,NY-12,Removed,Mathew Shurka (D),D
New York,NY-12,Removed,Erik Bottcher (D),D
New York,NY-12,Added,Mathew Shurka (D),D
New York,NY-15,Removed,Amanda Septimo (D),D
New York,NY-15,Added,Amanda Septimo (D),D
New York,NY-15,Added,Jose Vega (D),D
New York,NY-21,Removed,Robert Smullen (R),R
New York,NY-21,Removed,Elise Stefanik (R),R
New York,NY-21,Added,Robert Smullen (R),R
New York,NY-21,Removed,Dylan Hewitt (D),D
New York,NY-21,Removed,Steven Holden (D),D
New York,NY-21,Added,Dylan Hewitt (D),D
New York,NY-21,Removed,Chris Schmidt (I),I
New York,NY-21,Added,Christopher Schmidt (I),I
North Carolina,NC-01,Added,Asa Buck (R),R
North Carolina,NC-01,Added,Laurie Buckhout (R),R
North Carolina,NC-01,Added,Robert Hanig (R),R
North Carolina,NC-01,Added,Eric Rouse (R),R
North Carolina,NC-01,Added,Ashley-Nicole Russell (R),R
North Carolina,NC-01,Added,Tom Bailey (L),L
North Carolina,NC-02,Added,Matthew Laszacs (L),L
North Carolina,NC-03,Added,Allison Jaslow (D),D
North Carolina,NC-03,Added,Raymond Smith Jr. (D),D
North Carolina,NC-03,Added,Daniel Cavender (L),L
North Carolina,NC-04,Added,Valerie Foushee (D),D
North Carolina,NC-04,Added,Nida Allam (D),D
North Carolina,NC-04,Added,Mary Patterson (D),D
North Carolina,NC-04,Added,Guy Meilleur (L),L
North Carolina,NC-05,Added,Virginia Foxx (R),R
North Carolina,NC-05,Added,Steve Girard (R),R
North Carolina,NC-05,Added,Joseph Osborne (R),R
North Carolina,NC-05,Added,Roman Williams II (R),R
North Carolina,NC-05,Added,Kyah Creekmore (D),D
North Carolina,NC-05,Added,Chuck Hubbard (D),D
North Carolina,NC-05,Removed,David Clayton (I),I
North Carolina,NC-05,Added,David Clayton (I),I
North Carolina,NC-05,Added,Robert Luffman (L),L
North Carolina,NC-06,Added,Beau Blair (D),D
North Carolina,NC-06,Added,Keith Davenport (D),D
North Carolina,NC-06,Added,Cyril Jefferson (D),D
North Carolina,NC-06,Added,Alysa Kassay (D),D
North Carolina,NC-07,Added,David Rouzer (R),R
North Carolina,NC-07,Added,David Buzzard (R),R
North Carolina,NC-07,Added,Maad Abu-Ghazalah (L),L
North Carolina,NC-08,Added,Kevin Clark (D),D
North Carolina,NC-08,Added,Jesse Oppenheim (D),D
North Carolina,NC-08,Added,Colby Watson (D),D
North Carolina,NC-09,Added,Loren Bibler (D),D
North Carolina,NC-09,Added,Nigel Bristow (D),D
North Carolina,NC-09,Added,Lent Carr II (D),D
North Carolina,NC-09,Added,Richard Ojeda (D),D
North Carolina,NC-10,Added,Pat Harrigan (R),R
North Carolina,NC-10,Added,Matthew Sin (R),R
North Carolina,NC-10,Added,Ashley Bell (D),D
North Carolina,NC-10,Added,West Caudle (D),D
North Carolina,NC-10,Added,Harry Morley (D),D
North Carolina,NC-10,Added,Marcus D. Pearson (D),D
North Carolina,NC-10,Added,Ralph Scott Jr. (D),D
North Carolina,NC-10,Added,Mir Yarfitz (D),D
North Carolina,NC-10,Added,Steven Feldman (L),L
North Carolina,NC-11,Added,Chuck Edwards (R),R
North Carolina,NC-11,Added,Adam Smith (R),R
North Carolina,NC-11,Added,Jamie Ager (D),D
North Carolina,NC-11,Added,Zelda Briarwood (D),D
North Carolina,NC-11,Added,Richard Hudspeth (D),D
North Carolina,NC-11,Added,Paul Maddox (D),D
North Carolina,NC-11,Added,Lee Whipple (D),D
North Carolina,NC-11,Removed,John Rogers (I),I
North Carolina,NC-11,Added,John Rogers (I),I
North Carolina,NC-11,Added,Travis Groo (L),L
North Carolina,NC-12,Added,Addul Ali (R),R
North Carolina,NC-12,Added,Jack Codiga (R),R
North Carolina,NC-12,Added,Alma Adams (D),D
North Carolina,NC-12,Added,Monaca Maye Williamson (D),D
North Carolina,NC-13,Added,Brad Knott (R),R
North Carolina,NC-13,Added,Sid Sharma (R),R
North Carolina,NC-13,Added,Paul Barringer (D),D
North Carolina,NC-13,Added,Alexander Nicholi (D),D
North Carolina,NC-13,Added,Frank Pierce (D),D
North Carolina,NC-13,Added,Steven Swinton (L),L
North Carolina,NC-13,Added,Anthony Aguilar (G),G
North Carolina,NC-14,Added,Timothy K. Moore (R),R
North Carolina,NC-14,Added,Kate Barr (R),R
North Carolina,NC-14,Added,Brent Caldwell (D),D
North Carolina,NC-14,Added,Ahmid Kargbo (D),D
North Carolina,NC-14,Added,Lakesha Womack (D),D
North Dakota,ND-AL,Removed,Kelly Armstrong (R),R
North Dakota,ND-AL,Removed,Tom Campbell (R),R
North Dakota,ND-AL,Added,Julie Fedorchak (R),R
North Dakota,ND-AL,Added,Alex Balazs (R),R
North Dakota,ND-AL,Removed,Mark Haugen (D),D
North Dakota,ND-AL,Removed,Richard Grayson (I),I
North Dakota,ND-AL,Removed,Matthew Austin Gullo (I),I
Oregon,OR-05,Added,Joseph Lehman (L),L
Pennsylvania,PA-03,Removed,Robin Toldens (D),D
Pennsylvania,PA-03,Removed,Dwight Evans (D),D
Pennsylvania,PA-03,Added,Robin Toldens (D),D
Pennsylvania,PA-06,Removed,Chrissy Houlahan (D),D
Pennsylvania,PA-06,Removed,Benjamin Popp (D),D
Pennsylvania,PA-06,Added,Chrissy Houlahan (D),D
South Carolina,SC-01,Removed,Mark Smith (R),R
South Carolina,SC-01,Removed,Nancy Mace (R),R
South Carolina,SC-01,Added,Mark Smith (R),R
South Carolina,SC-05,Removed,Wes Climer (R),R
South Carolina,SC-05,Removed,Ralph Norman (R),R
South Carolina,SC-05,Added,Wes Climer (R),R
South Dakota,SD-AL,Removed,Justin McNeal (R),R
South Dakota,SD-AL,Removed,Christopher Sanders (R),R
South Dakota,SD-AL,Added,Dusty Johnson (R),R
South Dakota,SD-AL,Added,James Bialota (R),R
South Dakota,SD-AL,Added,Casey Crabtree (R),R
South Dakota,SD-AL,Added,Marty J. Jackley (R),R
South Dakota,SD-AL,Removed,Zach Kovach (D),D
South Dakota,SD-AL,Removed,Bert Olson (D),D
South Dakota,SD-AL,Removed,Ryan Ryder (D),D
South Dakota,SD-AL,Removed,Whitney Raver (D),D
South Dakota,SD-AL,Removed,Ellee Spawn (D),D
South Dakota,SD-AL,Removed,Brian Wirth (D),D
South Dakota,SD-AL,Added,Nicole Gronli (D),D
South Dakota,SD-AL,Added,Billy Mawhiney (D),D
South Dakota,SD-AL,Added,Scott Schlagel (D),D
South Dakota,SD-AL,Added,Jack Pittman (I),I
Tennessee,TN-02,Removed,Michaela Barnett (D),D
Tennessee,TN-02,Removed,Adam Velk (D),D
Tennessee,TN-02,Added,Michaela Barnett (D),D
Tennessee,TN-06,Removed,Dale Braden (R),R
Tennessee,TN-07,Removed,Aftyn Behn (D),D
Utah,UT-01,Added,Liban Mohamed (D),D
Utah,UT-01,Removed,Luis Villarreal (D),D
Utah,UT-01,Removed,Peter Crosby (D),D
Utah,UT-01,Added,Luis Villarreal (D),D
Utah,UT-02,Removed,Jarom Gillins (D),D
Utah,UT-02,Removed,Jonathan Larsen (D),D
Utah,UT-02,Added,Jarom Gillins (D),D
Utah,UT-04,Added,Jonathan Larsen (D),D
Virginia,VA-05,Removed,Bob Good (R),R
Virginia,VA-05,Added,Bob Good (R),R
Virginia,VA-05,Added,Melanie Lucero (R),R
Virginia,VA-05,Removed,Kate Zabriskie (D),D
Virginia,VA-05,Removed,Adele Stichel (D),D
Virginia,VA-05,Added,Kate Zabriskie (D),D
Virginia,VA-11,Removed,Amy Roma (D),D
Virginia,VA-11,Removed,Gerald Edward Connolly (D),D
Virginia,VA-11,Added,Amy Roma (D),D
Washington,WA-04,Removed,John Duresky (D),D
Wisconsin,WI-03,Removed,Rodney Rave (D),D
Wisconsin,WI-03,Removed,Laura Benjamin (D),D
Wisconsin,WI-03,Added,Rodney Rave (D),D
Wyoming,WY-AL,Removed,Harriet Hageman (R),R
Wyoming,WY-AL,Removed,Bo Biteman (R),R
Wyoming,WY-AL,Removed,Bryan Keller (R),R
Wyoming,WY-AL,Removed,Bryan Miller (R),R
Wyoming,WY-AL,Removed,Catharine O'Neill (R),R
Wyoming,WY-AL,Removed,Marissa Selvig (R),R
Wyoming,WY-AL,Removed,Darin Smith (R),R
Wyoming,WY-AL,Added,Reid Rasner (R),R
Wyoming,WY-AL,Removed,Casey Hardison (I),I
Wyoming,WY-AL,Added,Daniel Workman (I),I
