State,District,Change,Candidate,Party
Georgia,GA-01,Added,Sharon Stokes-Williamson (D),D
Georgia,GA-02,Added,Brandon Daley (CP),P
Georgia,GA-07,Added,Larry Long (D),D
Georgia,GA-10,Removed,Mike Collins (R),R
Georgia,GA-14,Removed,Jim Tully (R),R
Georgia,GA-14,Removed,Marjorie Taylor Greene (R),R
Georgia,GA-14,Removed,Thomas Gray (R),R
Georgia,GA-14,Added,Brian Stover (R),R
Georgia,GA-14,Added,Christian Hurd (R),R
Georgia,GA-14,Added,Eric Cunningham (R),R
Georgia,GA-14,Added,Jacqueline Wilmer (R),R
Georgia,GA-14,Added,James Tully (R),R
Georgia,GA-14,Added,Tom Gray (R),R
Idaho,ID-01,Added,Kaylee Peterson (D),D
Idaho,ID-02,Removed,Keven Lewis (D),D
Illinois,IL-02,Removed,Ashley Ramos (R),R
Illinois,IL-03,Removed,Mark Pasieka Sr. (D),D
Illinois,IL-05,Removed,Jonathan Bishop (D),D
Illinois,IL-09,Removed,Bruce Leon (D),D
Illinois,IL-13,Removed,Emily Lux (D),D
Illinois,IL-17,Removed,Montez Soliz (D),D
Indiana,IN-01,Added,David Ben Ruiz (R),R
Indiana,IN-04,Added,Joe Mackey (D),D
Indiana,IN-05,Added,J.D. Ford (D),D
Indiana,IN-06,Added,David Boyd (D),D
Iowa,IA-02,Removed,Kevin Techau (D),D
Iowa,IA-02,Removed,Rodney Blum (R),R
Iowa,IA-04,Removed,Douglas Jensen (R),R
Iowa,IA-04,Removed,Kyle Larsen (R),R
Iowa,IA-04,Removed,Ryan Melton (D),D
Kansas,KS-01,Added,Lauren Reinhold (D),D
Kansas,KS-02,Added,Braeden Curwick (D),D
Kansas,KS-03,Removed,Chase LaPorte (R),R
Kentucky,KY-01,Added,Penny Arcos (R),R
Kentucky,KY-01,Added,Robert James Sutherby (R),R
Kentucky,KY-02,Added,David Hatfield (D),D
Kentucky,KY-02,Added,G. Perry Adelmann (R),R
Kentucky,KY-03,Added,Daniel Cobble (R),R
Kentucky,KY-03,Added,David Nichter (R),R
Kentucky,KY-03,Added,Donald Pay (R),R
Kentucky,KY-03,Added,Maria Teresa Rodriguez (R),R
Kentucky,KY-04,Removed,Robert Wells Jr. (R),R
Kentucky,KY-05,Added,Billy Ray Wilson (I),I
Kentucky,KY-05,Added,Brandon Monhollen (R),R
Kentucky,KY-05,Added,Jerry Shelton (R),R
Kentucky,KY-05,Added,Kevin Smith (R),R
Kentucky,KY-06,Added,Corey Edwards (D),D
Kentucky,KY-06,Added,Harvey Carroll Jr. (D),D
Kentucky,KY-06,Added,Jimmy Ausbrooks (D),D
Maine,ME-01,Removed,Eric Small (R),R
Maine,ME-02,Removed,Jared Golden (D),D
Maine,ME-02,Added,Joe Baldacci (D),D
Maryland,MD-01,Added,Victor Guidice (D),D
Maryland,MD-05,Removed,Steny Hoyer (D),D
Maryland,MD-05,Added,Adrian Boafo (D),D
Maryland,MD-05,Added,Alexis Solis (D),D
Maryland,MD-05,Added,Walter Kirkland (D),D
Maryland,MD-07,Added,Theo Gillespie (D),D
Massachusetts,MA-01,Added,Nadia Milleron (I),I
Massachusetts,MA-06,Removed,Seth Moulton (D),D
Michigan,MI-04,Removed,Jessica Swartz (D),D
Michigan,MI-07,Added,Alexandra Prieditis (D),D
Michigan,MI-10,Removed,Alex Hawkins (D),D
Michigan,MI-11,Removed,Anil Kumar (D),D
Michigan,MI-13,Removed,Adam Hollier (D),D
Minnesota,MN-01,Removed,Andy Smith (D),D
Minnesota,MN-02,Removed,Angie Craig (D),D
Minnesota,MN-02,Removed,Michael Stefanko (D),D
Minnesota,MN-08,Removed,Chad McKenna (D),D
Mississippi,MS-02,Added,Pertis Williams III (D),D
Mississippi,MS-04,Removed,Charles Claburn (AIC),C
Mississippi,MS-04,Added,Carl Boyanton (I),I
Mississippi,MS-04,Added,D. Ryan Grover (D),D
Mississippi,MS-04,Added,Jeffrey Hulum III (D),D
Mississippi,MS-04,Added,Sawyer Walters (R),R
Missouri,MO-05,Removed,Jordan Herrera (D),D
Missouri,MO-08,Added,Christopher Reichard (D),D
Missouri,MO-08,Added,Frank Barnitz (D),D
Montana,MT-01,Added,Ryan Busse (D),D
Montana,MT-01,Added,Samuel Forstag (D),D
Nebraska,NE-02,Removed,Don Bacon (R),R
Nebraska,NE-02,Removed,Mark Johnston (D),D
Nebraska,NE-03,Added,Mark Cohen (NP),P
Nevada,NV-03,Removed,Lydia Dominguez (R),R
New Hampshire,NH-02,Added,Victor Orlando (R),R
New Jersey,NJ-01,Removed,Bill Finn (D),D
New Jersey,NJ-02,Removed,Curtis Green (D),D
New Jersey,NJ-03,Removed,Linda McMahon (R),R
New Jersey,NJ-06,Added,Fahad Akhtar (CSI),I
New Jersey,NJ-07,Removed,Gregory Vartan (D),D
New Jersey,NJ-09,Removed,Tiffany Burgess (R),R
New Jersey,NJ-09,Added,Tiffany Burress (R),R
New Jersey,NJ-12,Removed,Bonnie Watson Coleman (D),D
New Jersey,NJ-12,Removed,Darius Mayfield (R),R
New Mexico,NM-02,Added,Tom Wakely (D),D
New York,NY-07,Removed,Nydia Velazquez (D),D
New York,NY-12,Removed,Erik Bottcher (D),D
New York,NY-15,Added,Jose Vega (D),D
New York,NY-21,Removed,Chris Schmidt (I),I
New York,NY-21,Removed,Elise Stefanik (R),R
New York,NY-21,Removed,Steven Holden (D),D
New York,NY-21,Added,Christopher Schmidt (I),I
North Carolina,NC-01,Added,Asa Buck (R),R
North Carolina,NC-01,Added,Ashley-Nicole Russell (R),R
North Carolina,NC-01,Added,Eric Rouse (R),R
North Carolina,NC-01,Added,Laurie Buckhout (R),R
North Carolina,NC-01,Added,Robert Hanig (R),R
North Carolina,NC-01,Added,Tom Bailey (L),L
North Carolina,NC-02,Added,Matthew Laszacs (L),L
North Carolina,NC-03,Added,Allison Jaslow (D),D
North Carolina,NC-03,Added,Daniel Cavender (L),L
North Carolina,NC-03,Added,Raymond Smith Jr. (D),D
North Carolina,NC-04,Added,Guy Meilleur (L),L
North Carolina,NC-04,Added,Mary Patterson (D),D
North Carolina,NC-04,Added,Nida Allam (D),D
North Carolina,NC-04,Added,Valerie Foushee (D),D
North Carolina,NC-05,Added,Chuck Hubbard (D),D
North Carolina,NC-05,Added,Joseph Osborne (R),R
North Carolina,NC-05,Added,Kyah Creekmore (D),D
North Carolina,NC-05,Added,Robert Luffman (L),L
North Carolina,NC-05,Added,Roman Williams II (R),R
North Carolina,NC-05,Added,Steve Girard (R),R
North Carolina,NC-05,Added,Virginia Foxx (R),R
North Carolina,NC-06,Added,Alysa Kassay (D),D
North Carolina,NC-06,Added,Beau Blair (D),D
North Carolina,NC-06,Added,Cyril Jefferson (D),D
North Carolina,NC-06,Added,Keith Davenport (D),D
North Carolina,NC-07,Added,David Buzzard (R),R
North Carolina,NC-07,Added,David Rouzer (R),R
North Carolina,NC-07,Added,Maad Abu-Ghazalah (L),L
North Carolina,NC-08,Added,Colby Watson (D),D
North Carolina,NC-08,Added,Jesse Oppenheim (D),D
North Carolina,NC-08,Added,Kevin Clark (D),D
North Carolina,NC-09,Added,Lent Carr II (D),D
North Carolina,NC-09,Added,Loren Bibler (D),D
North Carolina,NC-09,Added,Nigel Bristow (D),D
North Carolina,NC-09,Added,Richard Ojeda (D),D
North Carolina,NC-10,Added,Ashley Bell (D),D
North Carolina,NC-10,Added,Harry Morley (D),D
North Carolina,NC-10,Added,Marcus D. Pearson (D),D
North Carolina,NC-10,Added,Matthew Sin (R),R
North Carolina,NC-10,Added,Mir Yarfitz (D),D
North Carolina,NC-10,Added,Pat Harrigan (R),R
North Carolina,NC-10,Added,Ralph Scott Jr. (D),D
North Carolina,NC-10,Added,Steven Feldman (L),L
North Carolina,NC-10,Added,West Caudle (D),D
North Carolina,NC-11,Added,Adam Smith (R),R
North Carolina,NC-11,Added,Chuck Edwards (R),R
North Carolina,NC-11,Added,Jamie Ager (D),D
North Carolina,NC-11,Added,Lee Whipple (D),D
North Carolina,NC-11,Added,Paul Maddox (D),D
North Carolina,NC-11,Added,Richard Hudspeth (D),D
North Carolina,NC-11,Added,Travis Groo (L),L
North Carolina,NC-11,Added,Zelda Briarwood (D),D
North Carolina,NC-12,Added,Addul Ali (R),R
North Carolina,NC-12,Added,Alma Adams (D),D
North Carolina,NC-12,Added,Jack Codiga (R),R
North Carolina,NC-12,Added,Monaca Maye Williamson (D),D
North Carolina,NC-13,Added,Alexander Nicholi (D),D
North Carolina,NC-13,Added,Anthony Aguilar (G),G
North Carolina,NC-13,Added,Brad Knott (R),R
North Carolina,NC-13,Added,Frank Pierce (D),D
North Carolina,NC-13,Added,Paul Barringer (D),D
North Carolina,NC-13,Added,Sid Sharma (R),R
North Carolina,NC-13,Added,Steven Swinton (L),L
North Carolina,NC-14,Added,Ahmid Kargbo (D),D
North Carolina,NC-14,Added,Brent Caldwell (D),D
North Carolina,NC-14,Added,Kate Barr (R),R
North Carolina,NC-14,Added,Lakesha Womack (D),D
North Carolina,NC-14,Added,Timothy K. Moore (R),R
North Dakota,ND-AL,Removed,Kelly Armstrong (R),R
North Dakota,ND-AL,Removed,Mark Haugen (D),D
North Dakota,ND-AL,Removed,Matthew Austin Gullo (I),I
North Dakota,ND-AL,Removed,Richard Grayson (I),I
North Dakota,ND-AL,Removed,Tom Campbell (R),R
North Dakota,ND-AL,Added,Alex Balazs (R),R
North Dakota,ND-AL,Added,Julie Fedorchak (R),R
Ohio,OH-01,Added,Eric Conroy (R),R
Ohio,OH-01,Added,Greg Landsman (D),D
Ohio,OH-01,Added,John Hancock (L),L
Ohio,OH-01,Added,Lindsey Ferreira (D),D
Ohio,OH-01,Added,Rosemary Oglesby-Henry (R),R
Ohio,OH-01,Added,Steven Erbeck (R),R
Ohio,OH-02,Added,David Taylor (R),R
Ohio,OH-03,Added,Joyce Beatty (D),D
Ohio,OH-04,Added,Jim Jordan (R),R
Ohio,OH-04,Added,Joshua Kolasinski (D),D
Ohio,OH-04,Added,Tamie Wilson (D),D
Ohio,OH-05,Added,Bob Latta (R),R
Ohio,OH-05,Added,Christopher Maddaluno (D),D
Ohio,OH-05,Added,Daniel Burket (D),D
Ohio,OH-05,Added,Erica Kelley (R),R
Ohio,OH-06,Added,Adrian Vitus (D),D
Ohio,OH-06,Added,Julia Kelley (R),R
Ohio,OH-06,Added,Malcolm Ritchie (D),D
Ohio,OH-06,Added,Michael Kripchak (D),D
Ohio,OH-06,Added,Michael Rulli (R),R
Ohio,OH-06,Added,Sam Barrick (D),D
Ohio,OH-06,Added,Sean Connolly (D),D
Ohio,OH-07,Added,Brian Poindexter (D),D
Ohio,OH-07,Added,Ed FitzGerald (D),D
Ohio,OH-07,Added,Jonah Schulz (R),R
Ohio,OH-07,Added,Max Miller (R),R
Ohio,OH-07,Added,Michael Eisner (D),D
Ohio,OH-07,Added,Scott Schulz (D),D
Ohio,OH-08,Added,Madaris Grant (D),D
Ohio,OH-08,Added,Warren Davidson (R),R
Ohio,OH-09,Added,Alea Nadeem (R),R
Ohio,OH-09,Added,Anthony Campbell (R),R
Ohio,OH-09,Added,David Gedert (L),L
Ohio,OH-09,Added,Derek Merrin (R),R
Ohio,OH-09,Added,Jacob Frost (R),R
Ohio,OH-09,Added,Josh Williams (R),R
Ohio,OH-09,Added,Marcy Kaptur (D),D
Ohio,OH-09,Added,Wayne Kinsel (R),R
Ohio,OH-10,Added,Michael Turner (R),R
Ohio,OH-11,Added,Cortney Peterson (D),D
Ohio,OH-11,Added,David Light (D),D
Ohio,OH-11,Added,Shontel Brown (D),D
Ohio,OH-12,Added,Jerrad Christian (D),D
Ohio,OH-12,Added,Troy Balderson (R),R
Ohio,OH-13,Added,Carey Coleman (R),R
Ohio,OH-13,Added,Emilia Sykes (D),D
Ohio,OH-13,Added,Kevin Siembida (R),R
Ohio,OH-13,Added,Margaret Briem (R),R
Ohio,OH-13,Added,Neil Patel (R),R
Ohio,OH-13,Added,Sandeep Dixit (I),I
Ohio,OH-14,Added,Bill O'Neill (D),D
Ohio,OH-14,Added,David Joyce (R),R
Ohio,OH-15,Added,Adam Miller (D),D
Ohio,OH-15,Added,Don Leonard (D),D
Ohio,OH-15,Added,Evan Pargeter (R),R
Ohio,OH-15,Added,Mike Carey (R),R
Oregon,OR-05,Added,Joseph Lehman (L),L
Pennsylvania,PA-03,Removed,Dwight Evans (D),D
Pennsylvania,PA-06,Removed,Benjamin Popp (D),D
South Carolina,SC-01,Removed,Nancy Mace (R),R
South Carolina,SC-05,Removed,Ralph Norman (R),R
South Dakota,SD-AL,Removed,Bert Olson (D),D
South Dakota,SD-AL,Removed,Brian Wirth (D),D
South Dakota,SD-AL,Removed,Christopher Sanders (R),R
South Dakota,SD-AL,Removed,Ellee Spawn (D),D
South Dakota,SD-AL,Removed,Justin McNeal (R),R
South Dakota,SD-AL,Removed,Ryan Ryder (D),D
South Dakota,SD-AL,Removed,Whitney Raver (D),D
South Dakota,SD-AL,Removed,Zach Kovach (D),D
South Dakota,SD-AL,Added,Billy Mawhiney (D),D
South Dakota,SD-AL,Added,Casey Crabtree (R),R
South Dakota,SD-AL,Added,Dusty Johnson (R),R
South Dakota,SD-AL,Added,Jack Pittman (I),I
South Dakota,SD-AL,Added,James Bialota (R),R
South Dakota,SD-AL,Added,Marty J. Jackley (R),R
South Dakota,SD-AL,Added,Nicole Gronli (D),D
South Dakota,SD-AL,Added,Scott Schlagel (D),D
Tennessee,TN-02,Removed,Adam Velk (D),D
Tennessee,TN-06,Removed,Dale Braden (R),R
Tennessee,TN-06,Added,Dale Braden (AIC),C
Tennessee,TN-07,Removed,Aftyn Behn (D),D
Texas,TX-01,Added,Dax Alexander (D),D
Texas,TX-01,Added,Masika Akilah Ray (D),D
Texas,TX-01,Added,Nathaniel Moran (R),R
Texas,TX-01,Added,Sonia Canchola (I),I
Texas,TX-01,Added,Tracy Andrus (D),D
Texas,TX-01,Added,Yolanda Prince (D),D
Texas,TX-02,Added,Daniel Crenshaw (R),R
Texas,TX-02,Added,Martin Etwop (R),R
Texas,TX-02,Added,Nicholas Plumb (R),R
Texas,TX-02,Added,Shaun Finnie (D),D
Texas,TX-02,Added,Steve Toth (R),R
Texas,TX-03,Added,Evan Hunt (D),D
Texas,TX-03,Added,Keith Self (R),R
Texas,TX-03,Added,Mark Newgent (R),R
Texas,TX-04,Added,Andrew Rubell (D),D
Texas,TX-04,Added,Don Horn (R),R
Texas,TX-04,Added,Jason Pearce (D),D
Texas,TX-04,Added,Pat Fallon (R),R
Texas,TX-05,Added,Chelsey Hockett (D),D
Texas,TX-05,Added,Dea Foy (I),I
Texas,TX-05,Added,Forrest Lumpkin (D),D
Texas,TX-05,Added,Lance Gooden (R),R
Texas,TX-05,Added,Ruth Torres (D),D
Texas,TX-06,Added,Brian Stahl (R),R
Texas,TX-06,Added,Danny Minton (D),D
Texas,TX-06,Added,Jake Ellzey (R),R
Texas,TX-06,Added,James Buford (R),R
Texas,TX-07,Added,Alexander Hale (R),R
Texas,TX-07,Added,Alexander Kalai (R),R
Texas,TX-07,Added,Erin Montgomery (R),R
Texas,TX-07,Added,Lizzie Pannill Fletcher (D),D
Texas,TX-07,Added,Tina Blum Cohen (R),R
Texas,TX-08,Added,Brett Jensen (R),R
Texas,TX-08,Added,Deddrick Wilmer (R),R
Texas,TX-08,Added,Jay Fondren (R),R
Texas,TX-08,Added,Jessica Steinmann (R),R
Texas,TX-08,Added,Keith Coleman (D),D
Texas,TX-08,Added,Laura Jones (D),D
Texas,TX-08,Added,Nick Tran (R),R
Texas,TX-08,Added,Stephen Long (R),R
Texas,TX-09,Added,Alex Mealer (R),R
Texas,TX-09,Added,Briscoe Cain (R),R
Texas,TX-09,Added,Crystal Sarmiento (R),R
Texas,TX-09,Added,Dan Mims (R),R
Texas,TX-09,Added,Dwayne Stovall (R),R
Texas,TX-09,Added,Earnest Clayton (D),D
Texas,TX-09,Added,Jaimy Annette Zoboulikos-Blanco (R),R
Texas,TX-09,Added,Leticia Gutierrez (D),D
Texas,TX-09,Added,Marty Rocha (D),D
Texas,TX-09,Added,Michael Curran (R),R
Texas,TX-09,Added,Peter Filler (D),D
Texas,TX-09,Added,Roy Morales (I),I
Texas,TX-09,Added,Steve Stockman (R),R
Texas,TX-09,Added,Terry Lee Thain (R),R
Texas,TX-09,Added,Terry Virts (D),D
Texas,TX-09,Added,Todd Ivey (D),D
Texas,TX-10,Added,Ben Bius (R),R
Texas,TX-10,Added,Bernie Reyna (D),D
Texas,TX-10,Added,Brandon Hawbaker (R),R
Texas,TX-10,Added,Caitlin Rourk (D),D
Texas,TX-10,Added,Chris Gober (R),R
Texas,TX-10,Added,Dawn Marshall (D),D
Texas,TX-10,Added,Jenny Garcia Sharon (R),R
Texas,TX-10,Added,Jeremy Story (R),R
Texas,TX-10,Added,Jessica Karlsruher (R),R
Texas,TX-10,Added,Kara King (R),R
Texas,TX-10,Added,Rob Altman (R),R
Texas,TX-10,Added,Robert Brown (R),R
Texas,TX-10,Added,Scott MacLeod (R),R
Texas,TX-11,Added,August Pfluger (R),R
Texas,TX-11,Added,Claire Reynolds (D),D
Texas,TX-11,Added,Pedro Ruiz (D),D
Texas,TX-12,Added,Craig Goldman (R),R
Texas,TX-12,Added,Heli Rodriguez Prilliman (D),D
Texas,TX-12,Added,Kenneth Morgan-Aguilera (D),D
Texas,TX-13,Added,Chasity Wedgeworth (R),R
Texas,TX-13,Added,Mark Nair (D),D
Texas,TX-13,Added,Ronny L. Jackson (R),R
Texas,TX-14,Added,Jessica Forgy (R),R
Texas,TX-14,Added,Konstantinos Vogiatzis (D),D
Texas,TX-14,Added,Randy Weber (R),R
Texas,TX-14,Added,Richard Davis (D),D
Texas,TX-14,Added,Thurman Bill Bartie (D),D
Texas,TX-15,Added,Ada Cuellar (D),D
Texas,TX-15,Added,Bobby Pulido (D),D
Texas,TX-15,Added,Monica De La Cruz (R),R
Texas,TX-16,Added,Adam Bauman (R),R
Texas,TX-16,Added,Arturo Rios (R),R
Texas,TX-16,Added,Deliris Montanez (R),R
Texas,TX-16,Added,Hector Cabildo (R),R
Texas,TX-16,Added,Manuel Barraza (R),R
Texas,TX-16,Added,Marisela Chavez (R),R
Texas,TX-16,Added,Raul Castaneda (R),R
Texas,TX-16,Added,Veronica Escobar (D),D
Texas,TX-17,Added,Casey Shepard (D),D
Texas,TX-17,Added,J. Gordon Mitchell (D),D
Texas,TX-17,Added,Jamilah Flores (D),D
Texas,TX-17,Added,Pete Sessions (R),R
Texas,TX-18,Added,Al Green (D),D
Texas,TX-18,Added,Amanda Edwards (D),D
Texas,TX-18,Added,Christian Menefee (D),D
Texas,TX-18,Added,Elizabeth Vences (R),R
Texas,TX-18,Added,Gretchen Brown (D),D
Texas,TX-18,Added,Ronald Whitfield (R),R
Texas,TX-19,Added,Abraham Enriquez (R),R
Texas,TX-19,Added,Donald May (R),R
Texas,TX-19,Added,James Barbee (R),R
Texas,TX-19,Added,Jason Corley (R),R
Texas,TX-19,Added,Kyle Rable (D),D
Texas,TX-19,Added,Matthew Smith (R),R
Texas,TX-19,Added,Ryan Zink (R),R
Texas,TX-19,Added,Tom Sell (R),R
Texas,TX-20,Added,Anthony Tristan (I),I
Texas,TX-20,Added,Edgardo Baez (R),R
Texas,TX-20,Added,Joaquin Castro (D),D
Texas,TX-20,Added,John Atwood (D),D
Texas,TX-20,Added,Kendra Wilkerson (D),D
Texas,TX-21,Added,Dan McQueen (I),I
Texas,TX-21,Added,Daniel Betts (R),R
Texas,TX-21,Added,Ezekiel Enriquez (R),R
Texas,TX-21,Added,Gary Taylor (D),D
Texas,TX-21,Added,Heather Tessmer (R),R
Texas,TX-21,Added,Jacques DuBose (R),R
Texas,TX-21,Added,Jason Cahill (R),R
Texas,TX-21,Added,Kristin Hook (D),D
Texas,TX-21,Added,Kyle Sinclair (R),R
Texas,TX-21,Added,Mark Teixeira (R),R
Texas,TX-21,Added,Mike Wheeler (R),R
Texas,TX-21,Added,Paul Rojas (R),R
Texas,TX-21,Added,Peggy Wardlaw (R),R
Texas,TX-21,Added,Regina Vanburg (D),D
Texas,TX-21,Added,Trey Trainor (R),R
Texas,TX-21,Added,Weston Martinez (R),R
Texas,TX-22,Added,Chris Fernandez (D),D
Texas,TX-22,Added,Demile James (AIP),P
Texas,TX-22,Added,Marquette Greene-Scott (D),D
Texas,TX-22,Added,Pearl Vuorinen (D),D
Texas,TX-22,Added,Rebecca Clark (R),R
Texas,TX-22,Added,Robert Thomas (D),D
Texas,TX-22,Added,Sterling Gadison (D),D
Texas,TX-22,Added,Trever Nehls (R),R
Texas,TX-23,Added,Brandon Herrera (R),R
Texas,TX-23,Added,Bruce Richardson (D),D
Texas,TX-23,Added,Francisco Canseco (R),R
Texas,TX-23,Added,Gretel Marysdatter Enck (D),D
Texas,TX-23,Added,Katy Padilla Stout (D),D
Texas,TX-23,Added,Keith Barton (R),R
Texas,TX-23,Added,Patti Hale Ashe (I),I
Texas,TX-23,Added,Santos Limon (D),D
Texas,TX-23,Added,Tony Gonzales (R),R
Texas,TX-23,Added,Veronica Williams (I),I
Texas,TX-24,Added,Beth Van Duyne (R),R
Texas,TX-24,Added,Jon Buchwald (D),D
Texas,TX-24,Added,Kevin Burge (D),D
Texas,TX-24,Added,TJ Ware (D),D
Texas,TX-25,Added,Dione Sims (D),D
Texas,TX-25,Added,Roger Williams (R),R
Texas,TX-25,Added,William Marks (D),D
Texas,TX-26,Added,Brandon Gill (R),R
Texas,TX-26,Added,Ernest Lineberger III (D),D
Texas,TX-26,Added,Robert Chick (R),R
Texas,TX-26,Added,Steven Shook (D),D
Texas,TX-27,Added,Chris Hatley (R),R
Texas,TX-27,Added,Dan McQueen (I),I
